run_id,true_stage,pred_stage,p_E,p_M,p_L,method
12,early,early,0.8568,0.1251,0.018,B12
13,early,early,0.8549,0.1267,0.0183,B12
14,early,early,0.855,0.1269,0.0181,B12
15,early,early,0.8541,0.1278,0.0181,B12
16,early,early,0.8532,0.1288,0.0179,B12
17,early,early,0.8511,0.1309,0.018,B12
18,early,early,0.8505,0.1316,0.0178,B12
19,early,early,0.847,0.135,0.018,B12
20,early,early,0.8467,0.1353,0.018,B12
21,early,early,0.852,0.1299,0.0181,B12
22,early,early,0.855,0.1271,0.0179,B12
23,early,early,0.8562,0.1258,0.018,B12
24,early,early,0.8565,0.1253,0.0182,B12
25,early,early,0.8568,0.1249,0.0183,B12
26,early,early,0.8571,0.1244,0.0185,B12
27,early,early,0.8569,0.1244,0.0188,B12
28,early,early,0.8566,0.1243,0.019,B12
29,early,early,0.8566,0.1241,0.0193,B12
30,early,early,0.8569,0.1237,0.0193,B12
31,early,early,0.8573,0.1236,0.0191,B12
32,early,early,0.8572,0.1237,0.0191,B12
33,early,early,0.8569,0.1236,0.0195,B12
34,early,early,0.8571,0.1235,0.0194,B12
35,early,early,0.8569,0.1235,0.0196,B12
36,early,early,0.857,0.1234,0.0195,B12
37,early,early,0.8572,0.1232,0.0196,B12
38,early,early,0.8575,0.123,0.0195,B12
39,early,early,0.8577,0.1229,0.0195,B12
40,early,early,0.8576,0.1229,0.0195,B12
41,early,early,0.8577,0.1229,0.0194,B12
42,early,early,0.858,0.1226,0.0193,B12
43,early,early,0.858,0.1226,0.0194,B12
44,early,early,0.8582,0.1224,0.0194,B12
45,early,early,0.8586,0.1222,0.0193,B12
46,early,early,0.8585,0.1222,0.0193,B12
47,early,early,0.8585,0.1223,0.0193,B12
48,early,early,0.8584,0.1223,0.0193,B12
49,early,early,0.8582,0.1224,0.0193,B12
50,early,early,0.8581,0.1226,0.0193,B12
51,early,early,0.8578,0.1227,0.0194,B12
52,early,early,0.8577,0.1228,0.0195,B12
53,early,early,0.8572,0.1232,0.0197,B12
54,early,early,0.8569,0.1233,0.0198,B12
55,early,early,0.8566,0.1235,0.0199,B12
56,early,early,0.8563,0.1238,0.0199,B12
57,early,early,0.8556,0.1244,0.02,B12
58,early,early,0.8554,0.1245,0.0201,B12
59,early,early,0.8547,0.125,0.0203,B12
60,early,early,0.8546,0.1254,0.0201,B12
61,early,early,0.854,0.1258,0.0202,B12
