sample_id,split,condition,run_id,true_stage,pred_stage,q_true,q_hat,uncertainty,entropy,misclassified,PC1,PC2,representation
final_train_00000,final_train,C1,12,early,early,0.1932077187551013,0.3069212138652801,0.0450387597084045,0.1929859185858363,0,-6.662156033857752,0.9993381843385821,Raw features
final_train_00001,final_train,C1,13,early,early,0.2101847712464187,0.3075820207595825,0.0453616380691528,0.1940939308213459,0,-5.1112829049802855,1.8566382537027755,Raw features
final_train_00002,final_train,C1,14,early,early,0.2253597093096253,0.3065766096115112,0.0452011227607727,0.1935331022020063,0,-5.644051548406934,1.0416353274709496,Raw features
final_train_00003,final_train,C1,15,early,early,0.2388500265425312,0.3061904907226562,0.0451727509498596,0.1934157090584351,0,-5.612547874584496,0.7636980126478229,Raw features
final_train_00004,final_train,C1,16,early,early,0.2507679649311761,0.3063053786754608,0.0452972054481506,0.1938784862583782,0,-5.341984621454891,1.258692369183476,Raw features
final_train_00005,final_train,C1,17,early,early,0.2612206852652242,0.3065139353275299,0.0453401803970336,0.1941054327723278,0,-5.407306490317486,1.154457321435305,Raw features
final_train_00006,final_train,C1,18,early,early,0.2703104335047634,0.3062337934970855,0.0453397631645202,0.1941990488875131,0,-5.4599695176990855,1.4263079455411976,Raw features
final_train_00007,final_train,C1,19,early,early,0.2781347032038214,0.3062550127506256,0.0453216433525085,0.1941927824944074,0,-5.7927074668800715,1.2113699460127056,Raw features
final_train_00008,final_train,C1,20,early,early,0.284786393978896,0.3062621653079986,0.0452966690063476,0.1941702940100583,0,-5.8572638691707875,1.0934240634056362,Raw features
final_train_00009,final_train,C1,21,early,early,0.290353966081007,0.3087629079818725,0.0463314056396484,0.1979313505994137,0,-4.412454032291722,3.331154558421347,Raw features
final_train_00010,final_train,C1,22,early,early,0.2949215912584859,0.3083017766475677,0.0459238290786743,0.1964951936703838,0,-4.770872079299431,2.172022397842904,Raw features
final_train_00011,final_train,C1,23,early,early,0.2985692998285967,0.3081865012645721,0.0459142923355102,0.1964317837401474,0,-4.708723253240565,1.9196728043706215,Raw features
final_train_00012,final_train,C1,24,early,early,0.3013731241569073,0.3086109161376953,0.0460733175277709,0.1969875938195538,0,-4.6169631669970075,2.2944726824543262,Raw features
final_train_00013,final_train,C1,25,early,early,0.3034055671124052,0.308933824300766,0.0464414358139038,0.1983115660356459,0,-4.736491462952596,1.9510278465264743,Raw features
final_train_00014,final_train,C1,26,early,early,0.304808296554342,0.3086951971054077,0.0463070273399353,0.1978520169776058,0,-4.64250558205483,2.01240379962417,Raw features
final_train_00015,final_train,C1,27,early,early,0.3057115883934917,0.3088741302490234,0.0464662909507751,0.1984252970014281,0,-4.874457023911545,1.978201045101218,Raw features
final_train_00016,final_train,C1,28,early,early,0.3062348967301653,0.3089090585708618,0.0464434027671813,0.1983444035631544,0,-4.99383168737665,1.809366290997577,Raw features
final_train_00017,final_train,C1,29,early,early,0.3064874039598791,0.3099898993968963,0.0469799637794494,0.2002057800243575,0,-4.973337595554765,1.7770377935329524,Raw features
final_train_00018,final_train,C1,30,early,early,0.3065685515019318,0.3095602989196777,0.0468138456344604,0.199624280445942,0,-4.7793910935484,1.88239600372825,Raw features
final_train_00019,final_train,C1,31,early,early,0.3065685515019318,0.3097630441188812,0.0468005537986755,0.1995814194021886,0,-5.118504307396641,1.7343872151038593,Raw features
final_train_00020,final_train,C1,32,early,early,0.3065685515019318,0.3098668754100799,0.0467878580093383,0.1995551195402146,0,-4.928386940572023,1.794614395489181,Raw features
final_train_00021,final_train,C1,33,early,early,0.3065685515019318,0.3093853294849396,0.0464153289794921,0.1980809980347715,0,-4.832268236593535,-0.010330155639520423,Raw features
final_train_00022,final_train,C1,34,early,early,0.3065685515019318,0.3089742958545685,0.0460484623908996,0.1968054072563593,0,-6.179521168471371,0.6639075430528445,Raw features
