run_id,true_stage,stage_id,q_color
12,early,0,0.0543003305631503
13,early,0,0.0607357409228696
14,early,0,0.0675207371477249
15,early,0,0.0746968680474152
16,early,0,0.0810622745661246
17,early,0,0.0874276810764199
18,early,0,0.0935881687037735
19,early,0,0.0995437374397715
20,early,0,0.1052943872844138
21,early,0,0.1108401182377004
22,early,0,0.1161809303080454
23,early,0,0.1213168234786207
24,early,0,0.1262477977578404
25,early,0,0.13117877203706
26,early,0,0.1361097463162796
27,early,0,0.1410407205954993
28,early,0,0.1459716948747189
29,early,0,0.1509026691539386
30,early,0,0.1554870761471252
31,early,0,0.1597249158626929
32,early,0,0.1636161882838135
33,early,0,0.1671608934273151
34,early,0,0.1703590312763698
35,early,0,0.1732106018478054
36,early,0,0.175715605133208
37,early,0,0.1782206084186106
38,early,0,0.1807256117040133
39,early,0,0.183230614989416
40,early,0,0.1857356182748186
41,early,0,0.1882406215602211
42,early,0,0.1907456248456237
43,early,0,0.1932506281226124
44,early,0,0.195755631408015
45,early,0,0.1982606346850036
46,early,0,0.2007656379704062
47,early,0,0.2032706412810509
48,early,0,0.2057756445412115
49,early,0,0.2082806478266142
50,early,0,0.2107856511456729
51,early,0,0.2132906544058334
52,early,0,0.21579565769965
53,early,0,0.2183006610187089
54,early,0,0.2208056642536273
55,early,0,0.2233106675726861
56,early,0,0.2258156708917448
57,early,0,0.2283206741266631
58,early,0,0.230825677445722
59,early,0,0.2333306806806404
60,early,0,0.2358356839155588
61,early,0,0.2383406872346176
62,early,0,0.2405333421859526
63,early,0,0.2424136488537044
64,early,0,0.2439816073220131
65,early,0,0.2452372175067385
66,early,0,0.2461804794078805
67,early,0,0.2468113930254392
68,early,0,0.2471427694933539
69,early,0,0.2479090181565044
70,early,0,0.2490971012066999
71,early,0,0.2506934927372599
72,early,0,0.252684213072299
73,early,0,0.255054863769136
74,early,0,0.2577906625365613
75,early,0,0.2608636681129916
76,early,0,0.2638363774010046
77,early,0,0.266706110107996
78,early,0,0.2694704346603989
79,early,0,0.2721271695499306
80,early,0,0.2746743849322597
81,early,0,0.2771104033001299
82,early,0,0.2794337993150789
83,early,0,0.2816433994708767
84,early,0,0.2837382809997008
