condition,window_start,window_end,run_id_end,stage,fine_state,q_target,split
C4,1,12,12,early,0,0.11886246400063642,test
C4,2,13,13,early,0,0.12623126366821227,test
C4,3,14,14,early,0,0.13281332801080437,test
C4,4,15,15,early,0,0.13866194251095557,test
C4,5,16,16,early,0,0.14382808632651137,test
C4,6,17,17,early,0,0.1483605014066031,test
C4,7,18,18,early,0,0.1523057601291695,test
C4,8,19,19,early,0,0.15570833148479732,test
C4,9,20,20,early,0,0.15861064579861892,test
C4,10,21,21,early,1,0.16105315813068127,test
C4,11,22,22,early,0,0.163074410156556,test
C4,12,23,23,early,4,0.16471109082553498,test
C4,13,24,24,early,4,0.16599809555688363,test
C4,14,25,25,early,4,0.1669685841889017,test
C4,15,26,26,early,4,0.16766077970210752,test
C4,16,27,27,early,4,0.16812910900869038,test
C4,17,28,28,early,4,0.16842303047534085,test
C4,18,29,29,early,4,0.16858728154480665,test
C4,19,30,30,early,4,0.1686621181722246,test
C4,20,31,31,early,4,0.1686835464479116,test
C4,21,32,32,early,4,0.1686835464479116,test
C4,22,33,33,early,4,0.16901578704459747,test
C4,23,34,34,early,4,0.16968865026890445,test
C4,24,35,35,early,4,0.1706966585387618,test
C4,25,36,36,early,4,0.17203555733921846,test
C4,26,37,37,early,4,0.17370220617149595,test
C4,27,38,38,early,1,0.1756944746229676,test
C4,28,39,39,early,1,0.17801114340113194,test
C4,29,40,40,early,1,0.18031956955318446,test
C4,30,41,41,early,1,0.18261169613614156,test
C4,31,42,42,early,1,0.18489396826498164,test
C4,32,43,43,early,1,0.1871721698192319,test
C4,33,44,44,early,1,0.18945145615907838,test
C4,34,45,45,early,1,0.19173638580903088,test
C4,35,46,46,early,1,0.19403095114218202,test
C4,36,47,47,early,1,0.19633860818895313,test
C4,37,48,48,early,1,0.19866230547121108,test
C4,38,49,49,early,1,0.2010045119195758,test
C4,39,50,50,early,1,0.20336724395651115,test
C4,40,51,51,early,1,0.20575209160478883,test
C4,41,52,52,early,1,0.20816024385259113,test
C4,42,53,53,early,1,0.21059251311832294,test
C4,43,54,54,early,1,0.2130493589142454,test
C4,44,55,55,early,1,0.21553091067589508,test
C4,45,56,56,early,1,0.21803698988118095,test
C4,46,57,57,early,1,0.22056713130222774,test
C4,47,58,58,early,1,0.2231206036212324,test
C4,48,59,59,early,1,0.22569642919558808,test
C4,49,60,60,early,1,0.2282934032035392,test
C4,50,61,61,early,1,0.2309101119969202,test
C4,51,62,62,early,1,0.23354495085094576,test
C4,52,63,63,early,1,0.2361961410036798,test
C4,53,64,64,early,1,0.2388617460347392,test
C4,54,65,65,early,1,0.24153968760801164,test
C4,55,66,66,early,1,0.2442277605949068,test
C4,56,67,67,early,1,0.2469236475864002,test
C4,57,68,68,early,1,0.2496249328103886,test
C4,58,69,69,early,1,0.2523291154626168,test
C4,59,70,70,early,1,0.2550336224594365,test
C4,60,71,71,early,1,0.2577358206536911,test
C4,61,72,72,early,1,0.2604330285054732,test
C4,62,73,73,early,1,0.26312252721600815,test
C4,63,74,74,early,1,0.265801571349446,test
C4,64,75,75,early,1,0.26846739899211813,test
C4,65,76,76,early,1,0.2711172413418845,test
C4,66,77,77,early,1,0.27374833188450287,test
C4,67,78,78,early,1,0.2763579151157217,test
C4,68,79,79,early,1,0.27894325475954107,test
