run_id,VB,flute_1,flute_2,flute_3,VB_smooth,q_ct,nu_norm_ct,stage
1,48.89261732,32.31711361,48.89261732,37.72082548,49.962487915,0.0,0.1690209935655249,early
2,49.57081504,37.914879,49.57081504,37.72082548,50.420056176,0.003747849000265095,0.23506011120435402,early
3,50.30286727,43.08790971,50.30286727,37.72082548,51.397174416666665,0.011751226711428704,0.3340522427368041,early
4,51.08365203,47.8590723,51.08365203,37.84985103,52.62280887285714,0.02179015043678708,0.5042503305922323,early
5,52.25032922,52.25032922,51.90828793,38.17266456,54.68833324142857,0.038708442415464187,0.6628996623169958,early
6,56.28276562,56.28276562,52.77212655,38.61755643,57.09612979285714,0.05843021655773405,0.8024442773877913,early
7,59.97661561,59.97661561,53.6707451,39.17455623,59.79811406714286,0.08056162278547854,0.9356283015278998,early
8,63.3512879,63.3512879,54.5999392,39.83415523,62.74937342285715,0.10473479074442632,0.9893517393512787,early
9,66.4253909,66.4253909,55.55571585,40.58729178,65.85916555714286,0.13020646860084742,0.9999999999568503,early
10,69.21675719,69.21675719,56.53428648,41.42533708,68.68471672714286,0.15334998625772928,0.9721311074806916,early
11,71.74246752,71.74246752,57.53206029,42.34008123,71.24315448428571,0.17430563202169147,0.910028931289934,early
12,74.01887416,74.01887416,58.54563763,43.32371962,73.55087684857143,0.19320771875510137,0.8211684965588677,early
13,76.06162381,76.06162381,59.57180359,44.36883963,75.62357518428571,0.2101847712464187,0.7378617797293429,early
14,77.88567991,77.88567991,60.60752172,45.46840765,77.47625655428571,0.22535970930962534,0.6598667422251328,early
15,79.50534445,79.50534445,61.64992794,46.61575637,79.12326554428572,0.2388500265425312,0.5869490627918675,early
16,80.93427925,80.93427925,62.69632451,47.8045724,80.57830558,0.25076796493117615,0.5188819562373194,early
17,82.18552678,82.18552678,63.74417426,49.0288842,81.85445973285714,0.2612206852652242,0.4554459949991227,early
18,83.27153045,83.27153045,64.79109482,50.28305022,82.96421103142858,0.27031043350476347,0.39642893404486623,early
19,84.20415441,84.20415441,65.83485314,51.56174741,83.91946229142857,0.2781347032038214,0.3416255379937412,early
20,84.99470288,84.99470288,66.87336002,52.85995997,84.73155546285714,0.284786393978896,0.2908374123783836,early
21,85.653939,85.653939,67.90466485,54.17296838,85.41129050142857,0.290353966081007,0.24387283712828353,early
22,86.19210327,86.19210327,68.92695045,55.49633868,85.96894378714286,0.2949215912584859,0.20054660308261393,early
23,86.61893145,86.61893145,69.93852803,56.82591204,86.41428608000001,0.2985692998285967,0.16068268716151665,early
24,86.94367205,86.94367205,70.93783235,58.15779461,86.75660003714286,0.30137312415690737,0.12474026880367269,early
25,87.17510345,87.17510345,71.92341685,59.48834755,87.0047374057143,0.30340556711240524,0.09311722500702865,early
26,87.32155046,87.32155046,72.89394911,60.81417738,87.17599416428571,0.304808296554342,0.0661537813741193,early
27,87.39090058,87.39090058,73.84820624,62.13212659,87.28627546857145,0.3057115883934917,0.04413602128004362,early
28,87.39090058,87.39090058,74.78507049,63.43926441,87.35016525857142,0.30623489673016535,0.02729642328983847,early
29,87.39090058,87.39090058,75.70352498,64.73287786,87.38099342,0.30648740395987917,0.01519092674201774,early
30,87.39090058,87.39090058,76.6026495,66.0104631,87.39090058,0.3065685515019318,0.0073955558646489235,early
31,87.39090058,87.39090058,77.48161641,67.26971691,87.39090058,0.3065685515019318,0.0028794267568846817,early
32,87.39090058,87.39090058,78.33968677,68.50852841,87.39090058,0.3065685515019318,0.0007002999016160401,early
33,87.39090058,87.39090058,79.17620637,69.72497111,87.39090058,0.3065685515019318,0.0,early
34,87.39090058,87.39090058,79.99060207,70.91729498,87.39090058,0.3065685515019318,0.0,early
35,87.39090058,87.39090058,80.78237816,72.08391897,87.39090058,0.3065685515019318,0.0,early
36,87.39090058,87.39090058,81.55111275,73.22342351,87.39090058,0.3065685515019318,0.0,early
37,87.39090058,87.39090058,82.2964544,74.33454341,87.39090058,0.3065685515019318,0.0,early
38,87.39090058,87.39090058,83.01811874,75.41616079,87.39090058,0.3065685515019318,0.0,early
39,87.39090058,87.39090058,83.71588526,76.46729838,87.39090058,0.3065685515019318,0.0,early
40,87.39090058,87.39090058,84.38959411,77.48711287,87.39090058,0.3065685515019318,4.69442475027746e-05,early
41,87.39090058,87.39090058,85.03914309,78.47488851,87.39090058,0.3065685515019318,0.0054360590373353935,early
42,87.39090058,87.39090058,85.66448465,79.43003091,87.39156470142856,0.30657399118611506,0.015927789202889592,early
