run_id,true_stage,pred_stage,p_early,p_middle,p_late
12,early,early,0.9981,0.0007,0.0012
13,early,early,0.9977,0.0009,0.0015
14,early,early,0.9978,0.0008,0.0013
15,early,early,0.9978,0.0009,0.0014
16,early,early,0.9979,0.0008,0.0013
17,early,early,0.9976,0.001,0.0014
18,early,early,0.9976,0.001,0.0014
19,early,early,0.9974,0.0011,0.0015
20,early,early,0.9974,0.0011,0.0014
21,early,early,0.9976,0.001,0.0014
22,early,early,0.9979,0.0009,0.0013
23,early,early,0.998,0.0008,0.0012
24,early,early,0.9981,0.0007,0.0012
25,early,early,0.9982,0.0007,0.0012
26,early,early,0.9982,0.0006,0.0011
27,early,early,0.9983,0.0006,0.0011
28,early,early,0.9983,0.0006,0.0011
29,early,early,0.9984,0.0006,0.0011
30,early,early,0.9984,0.0005,0.0011
31,early,early,0.9984,0.0005,0.0011
32,early,early,0.9984,0.0005,0.0011
33,early,early,0.9984,0.0005,0.0011
34,early,early,0.9984,0.0005,0.0011
35,early,early,0.9985,0.0005,0.0011
36,early,early,0.9985,0.0005,0.0011
37,early,early,0.9985,0.0005,0.0011
38,early,early,0.9985,0.0005,0.0011
39,early,early,0.9985,0.0005,0.0011
40,early,early,0.9985,0.0005,0.0011
41,early,early,0.9985,0.0005,0.0011
42,early,early,0.9985,0.0005,0.0011
43,early,early,0.9985,0.0005,0.0011
44,early,early,0.9985,0.0005,0.001
45,early,early,0.9985,0.0005,0.0011
46,early,early,0.9985,0.0005,0.0011
47,early,early,0.9985,0.0005,0.0011
48,early,early,0.9985,0.0005,0.0011
49,early,early,0.9984,0.0005,0.0011
50,early,early,0.9984,0.0005,0.0011
51,early,early,0.9984,0.0005,0.0011
52,early,early,0.9984,0.0005,0.0011
53,early,early,0.9984,0.0005,0.0011
54,early,early,0.9984,0.0005,0.0011
55,early,early,0.9984,0.0005,0.0011
56,early,early,0.9984,0.0005,0.0011
57,early,early,0.9984,0.0005,0.0011
58,early,early,0.9984,0.0005,0.0011
59,early,early,0.9983,0.0005,0.0011
60,early,early,0.9983,0.0005,0.0012
61,early,early,0.9983,0.0006,0.0012
62,early,early,0.9983,0.0005,0.0012
63,early,early,0.9982,0.0006,0.0012
64,early,early,0.9982,0.0006,0.0012
65,early,early,0.998,0.0006,0.0013
66,early,early,0.9981,0.0006,0.0013
67,early,early,0.9979,0.0007,0.0014
68,early,early,0.9978,0.0008,0.0014
69,early,early,0.9975,0.0009,0.0016
70,early,early,0.9973,0.001,0.0017
71,early,early,0.997,0.0012,0.0019
72,early,early,0.9967,0.0013,0.002
73,early,early,0.996,0.0017,0.0023
74,early,early,0.9956,0.002,0.0024
75,early,early,0.9948,0.0025,0.0027
76,early,early,0.9955,0.0022,0.0024
77,early,early,0.9939,0.0032,0.0029
78,early,early,0.9946,0.0028,0.0027
79,early,early,0.9942,0.003,0.0028
80,early,early,0.9955,0.0021,0.0023
