condition,run_id,split,q_true,rate_norm,fine_state
C1,1,test,0.0,0.1690209935655249,0
C1,2,test,0.003747849000265095,0.23506011120435402,0
C1,3,test,0.011751226711428704,0.3340522427368041,0
C1,4,test,0.02179015043678708,0.5042503305922323,0
C1,5,test,0.038708442415464187,0.6628996623169958,0
C1,6,test,0.05843021655773405,0.8024442773877913,0
C1,7,test,0.08056162278547854,0.9356283015278998,0
C1,8,test,0.10473479074442632,0.9893517393512787,0
C1,9,test,0.13020646860084742,0.9999999999568503,0
C1,10,test,0.15334998625772928,0.9721311074806916,0
C1,11,test,0.17430563202169147,0.910028931289934,0
C1,12,test,0.19320771875510137,0.8211684965588677,0
C1,13,test,0.2101847712464187,0.7378617797293429,0
C1,14,test,0.22535970930962534,0.6598667422251328,0
C1,15,test,0.2388500265425312,0.5869490627918675,0
C1,16,test,0.25076796493117615,0.5188819562373194,0
C1,17,test,0.2612206852652242,0.4554459949991227,1
C1,18,test,0.27031043350476347,0.39642893404486623,1
C1,19,test,0.2781347032038214,0.3416255379937412,1
C1,20,test,0.284786393978896,0.2908374123783836,1
C1,21,test,0.290353966081007,0.24387283712828353,1
C1,22,test,0.2949215912584859,0.20054660308261393,1
C1,23,test,0.2985692998285967,0.16068268716151665,1
C1,24,test,0.30137312415690737,0.12474026880367269,1
C1,25,test,0.30340556711240524,0.09311722500702865,1
C1,26,test,0.304808296554342,0.0661537813741193,1
C1,27,test,0.3057115883934917,0.04413602128004362,1
C1,28,test,0.30623489673016535,0.02729642328983847,1
C1,29,test,0.30648740395987917,0.01519092674201774,1
C1,30,test,0.3065685515019318,0.0073955558646489235,1
C1,31,test,0.3065685515019318,0.0028794267568846817,1
C1,32,test,0.3065685515019318,0.0007002999016160401,1
C1,33,test,0.3065685515019318,0.0,1
C1,34,test,0.3065685515019318,0.0,1
C1,35,test,0.3065685515019318,0.0,1
C1,36,test,0.3065685515019318,0.0,1
C1,37,test,0.3065685515019318,0.0,1
C1,38,test,0.3065685515019318,0.0,1
C1,39,test,0.3065685515019318,0.0,1
C1,40,test,0.3065685515019318,4.69442475027746e-05,1
C1,41,test,0.3065685515019318,0.0054360590373353935,1
C1,42,test,0.30657399118611506,0.015927789202889592,1
C1,43,test,0.3071984571013968,0.03128483113629538,1
C1,44,test,0.3084141906933186,0.051272499246101604,1
C1,45,test,0.3101936943077262,0.07561212494195932,1
C1,46,test,0.3125097736542056,0.09878003924543433,1
C1,47,test,0.3153355775782553,0.1207439911550418,1
C1,48,test,0.31864463518900144,0.13622505482514527,1
C1,49,test,0.3224054508337892,0.14548058391495655,1
C1,50,test,0.3259788291328714,0.14876707344781115,1
C1,51,test,0.32936739675801774,0.1463396921712047,1
C1,52,test,0.33257402402212133,0.13849878521723993,1
C1,53,test,0.3356018078189391,0.13079079667127688,1
C1,54,test,0.33845405511278276,0.12322481597608935,1
C1,55,test,0.34113426703667155,0.11580924489831568,1
C1,56,test,0.3436461235053329,0.10855182166273805,1
C1,57,test,0.3459934683898599,0.10145964448072384,1
C1,58,test,0.34818029525402105,0.0945391943717665,1
C1,59,test,0.35021073357031934,0.08779635758113737,1
C1,60,test,0.3520890354626005,0.08123644799750752,1
C1,61,test,0.35381956291670835,0.07486422825785119,1
C1,62,test,0.35540677555279343,0.0686839305493935,1
C1,63,test,0.3568552188071624,0.06269927761351626,1
C1,64,test,0.35816951255877133,0.056913502739874555,1
C1,65,test,0.3593543403056702,0.05132936885167518,1
C1,66,test,0.36041443869248496,0.045949188095872895,1
C1,67,test,0.36135458749424065,0.040774840322556245,1
C1,68,test,0.36217960006823297,0.03580779126143322,1
C1,69,test,0.36289431412182793,0.031049110496309634,1
C1,70,test,0.3635035829951145,0.026499488732746778,1
C1,71,test,0.3640122672711864,0.022159254459801027,1
C1,72,test,0.36442522676086264,0.01803176820236558,1
C1,73,test,0.36474731288524476,0.014199148388437053,1
C1,74,test,0.364983752753917,0.01073744089201104,1
C1,75,test,0.36514891521393,0.007716699110491349,1
C1,76,test,0.36525647269562156,0.005201070201909247,1
C1,77,test,0.36531940247633976,0.00324550888156433,1
C1,78,test,0.3653499890557742,0.001820163743904215,1
C1,79,test,0.36535982744397644,0.0008919471652946641,1
C1,80,test,0.36535982744397644,0.00034886578376503043,1
C1,81,test,0.36535982744397644,8.490487962796595e-05,1
C1,82,test,0.36535982744397644,0.0,1
C1,83,test,0.36535982744397644,0.0,1
C1,84,test,0.36535982744397644,0.0,1
C1,85,test,0.36535982744397644,0.0,1
C1,86,test,0.36535982744397644,0.0,1
C1,87,test,0.36535982744397644,0.0,1
C1,88,test,0.36535982744397644,0.0,1
C1,89,test,0.36535982744397644,0.0,1
C1,90,test,0.36535982744397644,0.0,1
C1,91,test,0.36535982744397644,0.0,1
C1,92,test,0.36535982744397644,0.0,1
C1,93,test,0.36535982744397644,0.0,1
C1,94,test,0.36535982744397644,0.0,1
C1,95,test,0.36535982744397644,0.0,1
C1,96,test,0.36535982744397644,0.0,1
C1,97,test,0.36535982744397644,0.0,1
C1,98,test,0.36535982744397644,0.0,1
C1,99,test,0.36535982744397644,0.0,1
C1,100,test,0.36535982744397644,0.0,1
C1,101,test,0.36535982744397644,0.0,1
C1,102,test,0.36535982744397644,0.0,1
C1,103,test,0.36535982744397644,0.0,1
C1,104,test,0.36535982744397644,0.0,1
C1,105,test,0.36535982744397644,0.0,1
C1,106,test,0.36535982744397644,0.0,1
C1,107,test,0.36535982744397644,0.0,1
C1,108,test,0.36535982744397644,0.0,1
C1,109,test,0.36535982744397644,0.0,1
C1,110,test,0.36535982744397644,0.0,1
