case,run,stage_label,split
2,1,early,test
2,2,early,test
2,3,early,test
2,4,early,test
2,5,middle,test
2,6,middle,test
2,7,middle,test
2,8,middle,test
2,9,middle,test
2,10,late,test
2,11,late,test
2,12,late,test
2,13,late,test
2,14,late,test
8,1,early,test
8,2,early,test
8,3,late,test
8,4,late,test
8,5,late,test
8,6,late,test
9,1,early,test
9,2,early,test
9,3,early,test
9,4,middle,test
9,5,middle,test
9,6,middle,test
9,7,late,test
9,8,late,test
9,9,late,test
10,1,early,test
10,2,early,test
10,3,early,test
10,4,middle,test
10,5,late,test
10,6,late,test
10,7,middle,test
10,8,late,test
10,9,late,test
10,10,late,test
1,1,early,train
1,2,early,train
1,3,early,train
1,4,early,train
1,5,early,train
1,6,late,train
1,7,middle,train
1,8,middle,train
1,9,middle,train
1,10,middle,train
1,11,late,train
1,12,middle,train
1,13,late,train
1,14,late,train
1,15,late,train
1,16,late,train
1,17,late,train
3,1,early,train
3,2,early,train
3,3,early,train
3,5,early,train
3,6,middle,train
3,7,middle,train
3,8,middle,train
3,9,middle,train
3,10,middle,train
3,11,middle,train
3,12,late,train
3,14,late,train
3,15,late,train
3,16,late,train
4,1,early,train
4,2,early,train
4,3,middle,train
4,4,late,train
4,5,late,train
4,6,late,train
4,7,late,train
5,1,early,train
5,2,early,train
5,3,late,train
5,4,late,train
5,5,late,train
5,6,late,train
6,1,early,train
12,1,early,train
12,2,early,train
12,3,early,train
12,4,early,train
12,5,early,train
12,6,middle,train
12,7,middle,train
12,8,middle,train
12,9,late,train
12,10,middle,train
12,11,middle,train
12,12,late,train
12,13,late,train
12,14,late,train
12,15,late,train
13,1,early,train
13,2,early,train
13,3,early,train
13,4,early,train
13,5,early,train
13,6,middle,train
13,7,middle,train
13,8,middle,train
13,9,middle,train
13,10,middle,train
13,11,middle,train
13,12,late,train
13,13,late,train
13,14,late,train
13,15,late,train
14,1,early,train
14,2,early,train
14,3,early,train
14,4,middle,train
14,5,middle,train
14,6,middle,train
14,8,late,train
14,9,late,train
14,10,late,train
15,1,early,train
15,2,early,train
15,3,middle,train
15,4,late,train
15,5,late,train
15,6,late,train
15,7,late,train
16,1,early,train
16,2,early,train
16,3,middle,train
16,4,middle,train
16,5,late,train
16,6,late,train
7,1,early,val
7,2,early,val
7,3,early,val
7,4,middle,val
7,5,late,val
7,6,late,val
7,7,late,val
7,8,late,val
11,1,early,val
11,2,early,val
11,3,early,val
11,4,early,val
11,5,early,val
11,6,early,val
11,7,early,val
11,8,middle,val
11,9,middle,val
11,10,middle,val
11,11,middle,val
11,12,middle,val
11,13,middle,val
11,14,middle,val
11,15,middle,val
11,16,middle,val
11,17,late,val
11,18,late,val
11,19,late,val
11,20,late,val
11,21,late,val
11,22,late,val
11,23,late,val
