method,output,run_id,q_true,q_pred,q_pred_norm,true_stage,pred_stage,prob_early,prob_middle,prob_late,max_prob
A1,raw,12,0.0543003305631503,0.30841658,0.0017306665255505335,early,early,0.9538866,0.03144227,0.014671001,0.9538866
A1,raw,13,0.06073574092286961,0.3110891,0.008083844876233698,early,early,0.9517925,0.033246603,0.014960931,0.9517925
A1,raw,14,0.06752073714772493,0.31120992,0.00837106106482324,early,early,0.95159805,0.033654764,0.014747173,0.95159805
A1,raw,15,0.07469686804741528,0.31091222,0.007663361517205975,early,early,0.9504235,0.03482514,0.0147513915,0.9504235
A1,raw,16,0.08106227456612462,0.31094438,0.0077398130370292095,early,early,0.94948864,0.03587925,0.014632138,0.94948864
A1,raw,17,0.08742768107641992,0.31115308,0.008235939659762662,early,early,0.947215,0.038055833,0.014729219,0.947215
A1,raw,18,0.09358816870377357,0.31056365,0.00683473259106227,early,early,0.9462542,0.039159793,0.014586007,0.9462542
A1,raw,19,0.09954373743977155,0.3120317,0.010324616100903308,early,early,0.94306684,0.042125024,0.01480814,0.94306684
A1,raw,20,0.10529438728441383,0.31146237,0.008971191232092354,early,early,0.9423456,0.042841822,0.014812557,0.9423456
A1,raw,21,0.11084011823770042,0.30944452,0.00417431003572118,early,early,0.9471942,0.038006887,0.0147988945,0.9471942
A1,raw,22,0.1161809303080454,0.30778018,0.00021780125143672674,early,early,0.94964314,0.035765678,0.014591185,0.94964314
A1,raw,23,0.1213168234786207,0.30768856,0.0,early,early,0.9508516,0.03443243,0.014715966,0.9508516
A1,raw,24,0.1262477977578404,0.3082663,0.0013734173216004494,early,early,0.95139664,0.03371794,0.014885404,0.95139664
A1,raw,25,0.13117877203706002,0.30879354,0.002626784837508311,early,early,0.9520503,0.0329923,0.014957392,0.9520503
A1,raw,26,0.13610974631627965,0.30929556,0.003820198767286292,early,early,0.9526054,0.032249484,0.015145076,0.9526054
A1,raw,27,0.14104072059549935,0.30984277,0.005121039443979861,early,early,0.9526782,0.03192352,0.01539819,0.9526782
A1,raw,28,0.14597169487471898,0.31028926,0.0061824461319734585,early,early,0.9526911,0.03164881,0.015660143,0.9526911
A1,raw,29,0.1509026691539386,0.31039134,0.006425113145143711,early,early,0.9527084,0.03138044,0.015911154,0.9527084
A1,raw,30,0.1554870761471252,0.31010622,0.005747319073875039,early,early,0.9528975,0.031157268,0.015945172,0.9528975
A1,raw,31,0.1597249158626929,0.31003374,0.005575017887407801,early,early,0.95328104,0.031030487,0.015688404,0.95328104
A1,raw,32,0.1636161882838135,0.3103569,0.006343241554885197,early,early,0.9533239,0.030969322,0.015706774,0.9533239
A1,raw,33,0.16716089342731516,0.3106518,0.0070442848756522534,early,early,0.9530983,0.030766359,0.016135378,0.9530983
A1,raw,34,0.17035903127636987,0.3106452,0.007028595198076668,early,early,0.95333576,0.030632988,0.016031312,0.95333576
A1,raw,35,0.17321060184780543,0.31085083,0.0075174237435135785,early,early,0.95326704,0.030555598,0.016177265,0.95326704
