split,method,true_stage,pred_stage,count,row_norm
final_internal_val,raw,early,early,20,0.99999999999995
final_internal_val,raw,early,middle,0,0.0
final_internal_val,raw,early,late,0,0.0
final_internal_val,raw,middle,early,0,0.0
final_internal_val,raw,middle,middle,26,0.9999999999999616
final_internal_val,raw,middle,late,0,0.0
final_internal_val,raw,late,early,0,0.0
final_internal_val,raw,late,middle,0,0.0
final_internal_val,raw,late,late,14,0.9999999999999286
final_internal_val,prior,early,early,0,0.0
final_internal_val,prior,early,middle,20,0.99999999999995
final_internal_val,prior,early,late,0,0.0
final_internal_val,prior,middle,early,0,0.0
final_internal_val,prior,middle,middle,26,0.9999999999999616
final_internal_val,prior,middle,late,0,0.0
final_internal_val,prior,late,early,0,0.0
final_internal_val,prior,late,middle,7,0.4999999999999643
final_internal_val,prior,late,late,7,0.4999999999999643
final_internal_val,mix,early,early,20,0.99999999999995
final_internal_val,mix,early,middle,0,0.0
final_internal_val,mix,early,late,0,0.0
final_internal_val,mix,middle,early,0,0.0
final_internal_val,mix,middle,middle,26,0.9999999999999616
final_internal_val,mix,middle,late,0,0.0
final_internal_val,mix,late,early,0,0.0
final_internal_val,mix,late,middle,0,0.0
final_internal_val,mix,late,late,14,0.9999999999999286
final_internal_val,ordered,early,early,20,0.99999999999995
final_internal_val,ordered,early,middle,0,0.0
final_internal_val,ordered,early,late,0,0.0
final_internal_val,ordered,middle,early,0,0.0
final_internal_val,ordered,middle,middle,26,0.9999999999999616
final_internal_val,ordered,middle,late,0,0.0
final_internal_val,ordered,late,early,0,0.0
final_internal_val,ordered,late,middle,2,0.14285714285713266
final_internal_val,ordered,late,late,12,0.8571428571427959
final_internal_val,final,early,early,20,0.99999999999995
final_internal_val,final,early,middle,0,0.0
final_internal_val,final,early,late,0,0.0
final_internal_val,final,middle,early,0,0.0
final_internal_val,final,middle,middle,26,0.9999999999999616
final_internal_val,final,middle,late,0,0.0
final_internal_val,final,late,early,0,0.0
final_internal_val,final,late,middle,0,0.0
final_internal_val,final,late,late,14,0.9999999999999286
test_C6,raw,early,early,84,0.9999999999999881
test_C6,raw,early,middle,0,0.0
test_C6,raw,early,late,0,0.0
test_C6,raw,middle,early,3,0.02325581395348819
test_C6,raw,middle,middle,126,0.9767441860465041
test_C6,raw,middle,late,0,0.0
test_C6,raw,late,early,0,0.0
test_C6,raw,late,middle,0,0.0
test_C6,raw,late,late,91,0.9999999999999891
test_C6,prior,early,early,0,0.0
test_C6,prior,early,middle,84,0.9999999999999881
test_C6,prior,early,late,0,0.0
test_C6,prior,middle,early,0,0.0
test_C6,prior,middle,middle,129,0.9999999999999923
test_C6,prior,middle,late,0,0.0
test_C6,prior,late,early,0,0.0
test_C6,prior,late,middle,72,0.7912087912087825
test_C6,prior,late,late,19,0.2087912087912065
test_C6,mix,early,early,84,0.9999999999999881
test_C6,mix,early,middle,0,0.0
test_C6,mix,early,late,0,0.0
test_C6,mix,middle,early,3,0.02325581395348819
test_C6,mix,middle,middle,126,0.9767441860465041
test_C6,mix,middle,late,0,0.0
test_C6,mix,late,early,0,0.0
test_C6,mix,late,middle,0,0.0
test_C6,mix,late,late,91,0.9999999999999891
test_C6,ordered,early,early,84,0.9999999999999881
test_C6,ordered,early,middle,0,0.0
test_C6,ordered,early,late,0,0.0
test_C6,ordered,middle,early,5,0.03875968992248032
test_C6,ordered,middle,middle,124,0.961240310077512
test_C6,ordered,middle,late,0,0.0
test_C6,ordered,late,early,0,0.0
test_C6,ordered,late,middle,2,0.021978021978021737
test_C6,ordered,late,late,89,0.9780219780219673
test_C6,final,early,early,84,0.9999999999999881
test_C6,final,early,middle,0,0.0
test_C6,final,early,late,0,0.0
test_C6,final,middle,early,4,0.031007751937984256
test_C6,final,middle,middle,125,0.968992248062008
test_C6,final,middle,late,0,0.0
test_C6,final,late,early,0,0.0
test_C6,final,late,middle,2,0.021978021978021737
test_C6,final,late,late,89,0.9780219780219673
